,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,relatives,not_alone,Deck,Title,Age_Class,Fare_Per_Person
0,0,3,0,2,1,0,0,0,1,0,8,1,6,0
1,1,1,1,5,1,0,3,1,1,0,3,3,5,1
2,1,3,1,3,0,0,0,0,0,1,8,2,9,0
3,1,1,1,5,1,0,3,0,1,0,3,3,5,1
4,0,3,0,5,0,0,1,0,0,1,8,1,15,1
5,0,3,0,1,0,0,1,2,0,1,8,1,3,1
6,0,1,0,6,0,0,3,0,0,1,5,1,6,3
7,0,3,0,0,3,1,2,0,4,0,8,4,0,0
8,1,3,1,3,0,2,1,0,2,0,8,3,9,0
9,1,2,1,1,1,0,2,1,1,0,8,3,2,1
10,1,3,1,0,1,1,2,0,2,0,7,2,0,0
11,1,1,1,6,0,0,2,0,0,1,3,2,6,2
12,0,3,0,2,0,0,1,0,0,1,8,1,6,1
13,0,3,0,5,1,5,2,0,6,0,8,1,15,0
14,0,3,1,1,0,0,0,0,0,1,8,2,3,0
15,1,2,1,6,0,0,2,0,0,1,8,3,12,2
16,0,3,0,0,4,1,2,2,5,0,8,4,0,0
17,1,2,0,4,0,0,1,0,0,1,8,1,8,1
18,0,3,1,4,1,0,2,0,1,0,8,3,12,1
19,1,3,1,2,0,0,0,1,0,1,8,3,6,0
20,0,2,0,5,0,0,2,0,0,1,8,1,10,2
21,1,2,0,5,0,0,1,0,0,1,4,1,10,1
22,1,3,1,1,0,0,1,2,0,1,8,2,3,1
23,1,1,0,4,0,0,3,0,0,1,1,1,4,3
24,0,3,1,0,3,1,2,0,4,0,8,2,0,0
25,1,3,1,5,1,5,2,0,6,0,8,3,15,0
26,0,3,0,2,0,0,0,1,0,1,8,1,6,0
27,0,1,0,2,3,2,5,0,5,0,3,1,2,0
28,1,3,1,1,0,0,0,2,0,1,8,2,3,0
29,0,3,0,4,0,0,0,0,0,1,8,1,12,0
30,0,1,0,5,0,0,2,1,0,1,8,5,5,2
31,1,1,1,6,1,0,4,1,1,0,2,3,6,2
32,1,3,1,3,0,0,0,2,0,1,8,2,9,0
33,0,2,0,6,0,0,1,0,0,1,8,1,12,1
34,0,1,0,4,1,0,3,1,1,0,8,1,4,1
35,0,1,0,6,1,0,3,0,1,0,8,1,6,1
36,1,3,0,2,0,0,0,1,0,1,8,1,6,0
37,0,3,0,2,0,0,1,0,0,1,8,1,6,1
38,0,3,1,1,2,0,2,0,2,0,8,2,3,0
39,1,3,1,1,1,0,1,1,1,0,8,2,3,0
40,0,3,1,5,1,0,1,0,1,0,8,3,15,0
41,0,2,1,3,1,0,2,0,1,0,8,3,6,1
42,0,3,0,1,0,0,0,1,0,1,8,1,3,0
43,1,2,1,0,1,2,3,1,3,0,8,2,0,0
44,1,3,1,2,0,0,0,2,0,1,8,2,6,0
45,0,3,0,4,0,0,1,0,0,1,8,1,12,1
46,0,3,0,5,1,0,2,2,1,0,8,1,15,1
47,1,3,1,5,0,0,0,2,0,1,8,2,15,0
48,0,3,0,5,2,0,2,1,2,0,8,1,15,0
49,0,3,1,1,1,0,2,0,1,0,8,3,3,1
50,0,3,0,0,4,1,3,0,5,0,8,4,0,0
51,0,3,0,2,0,0,0,0,0,1,8,1,6,0
